instruction,output,input
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Электромобильный стартап Arrival экс-главы Yota уйдет из России
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,Экс-глава НМТП рассказал о «напряженных отношениях» братьев Магомедовых
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",слабо негативно,Шрёдер отклонил предложение войти в совет директоров «Газпрома»
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,Шельф берут в разработку // Генподрядчиком «Газпрома» на море может стать компания Андрея Патрушева
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,"Чистый убыток ""Юнипро"" в 1 полугодии 2022 года по РСБУ составил 12,8 млрд рублей"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",нейтрально,"Чистая прибыль ТГК-2 по РСБУ в 1 полугодии 2022 года сократилась на 41,6%"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно позитивно,"Чистая прибыль ""РусГидро"" по РСБУ за 1 полугодие выросла на 17%"
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",умеренно негативно,Финский производитель шин Nokian Tyres решил уйти из России
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",сильно негативно,Финляндия отворачивается от «Газпрома» // Страна отказалась платить за газ в рублях
"Какая тональность у этой новости? Пожалуйста, выберите вариант ответа из {сильно негативно/умеренно негативно/слабо негативно/нейтрально/слабо позитивно/умеренно позитивно/сильно позитивно}.",нейтрально,Федун ушел с поста вице-президента ЛУКОЙЛа на пенсию
